 385.58 0.348658  2.79010   0.6357   0.0000   0.0000   0.6357
 385.65 0.348670  2.79654   0.6362   0.0000   0.0000   0.6362
 385.72 0.348683  2.80298   0.6386   0.0000   0.0000   0.6386
 385.79 0.348695  2.80942   0.6424   0.0000   0.0000   0.6424
 385.85 0.348708  2.81586   0.6464   0.0000   0.0000   0.6464
 385.92 0.348720  2.82230   0.6496   0.0000   0.0000   0.6496
 385.99 0.348732  2.82875   0.6520   0.0000   0.0000   0.6520
 386.06 0.348745  2.83519   0.6539   0.0000   0.0000   0.6539
 386.13 0.348757  2.84163   0.6556   0.0000   0.0000   0.6556
 386.20 0.348770  2.84807   0.6572   0.0000   0.0000   0.6572
 386.27 0.348782  2.85451   0.6587   0.0000   0.0000   0.6587
 386.34 0.348795  2.86095   0.6599   0.0000   0.0000   0.6599
 386.41 0.348807  2.86739   0.6605   0.0000   0.0000   0.6605
 386.48 0.348820  2.87384   0.6606   0.0000   0.0000   0.6606
 386.55 0.348832  2.88028   0.6608   0.0000   0.0000   0.6608
 386.61 0.348844  2.88672   0.6622   0.0000   0.0000   0.6622
 386.68 0.348857  2.89316   0.6648   0.0000   0.0000   0.6648
 386.75 0.348869  2.89960   0.6681   0.0000   0.0000   0.6681
 386.82 0.348882  2.90604   0.6711   0.0000   0.0000   0.6711
 386.89 0.348894  2.91248   0.6734   0.0000   0.0000   0.6734
 386.96 0.348907  2.91892   0.6753   0.0000   0.0000   0.6753
 387.03 0.348919  2.92537   0.6770   0.0000   0.0000   0.6770
 387.10 0.348931  2.93181   0.6787   0.0000   0.0000   0.6787
 387.17 0.348944  2.93825   0.6804   0.0000   0.0000   0.6804
 387.24 0.348956  2.94469   0.6820   0.0000   0.0000   0.6820
 387.31 0.348969  2.95113   0.6836   0.0000   0.0000   0.6836
 387.37 0.348981  2.95757   0.6851   0.0000   0.0000   0.6851
 387.44 0.348993  2.96401   0.6863   0.0000   0.0000   0.6863
 387.51 0.349006  2.97046   0.6869   0.0000   0.0000   0.6869
 387.58 0.349018  2.97690   0.6872   0.0000   0.0000   0.6872
 387.65 0.349031  2.98334   0.6880   0.0000   0.0000   0.6880
 387.72 0.349043  2.98978   0.6900   0.0000   0.0000   0.6900
 387.79 0.349055  2.99622   0.6928   0.0000   0.0000   0.6928
 387.86 0.349068  3.00266   0.6957   0.0000   0.0000   0.6957
 387.93 0.349080  3.00910   0.6982   0.0000   0.0000   0.6982
 388.00 0.349093  3.01554   0.7002   0.0000   0.0000   0.7002
 388.07 0.349105  3.02199   0.7019   0.0000   0.0000   0.7019
 388.13 0.349117  3.02843   0.7033   0.0000   0.0000   0.7033
 388.20 0.349130  3.03487   0.7044   0.0000   0.0000   0.7044
 388.27 0.349142  3.04131   0.7051   0.0000   0.0000   0.7051
 388.34 0.349154  3.04775   0.7058   0.0000   0.0000   0.7058
 388.41 0.349167  3.05419   0.7072   0.0000   0.0000   0.7072
 388.48 0.349179  3.06063   0.7094   0.0000   0.0000   0.7094
 388.55 0.349192  3.06708   0.7121   0.0000   0.0000   0.7121
 388.62 0.349204  3.07352   0.7144   0.0000   0.0000   0.7144
 388.69 0.349216  3.07996   0.7157   0.0000   0.0000   0.7157
 388.76 0.349229  3.08640   0.7150   0.0000   0.0000   0.7150
 388.83 0.349241  3.09284   0.7118   0.0000   0.0000   0.7118
 388.89 0.349253  3.09928   0.7076   0.0000   0.0000   0.7076
 388.96 0.349266  3.10572   0.7055   0.0000   0.0000   0.7055
 389.03 0.349278  3.11217   0.7080   0.0000   0.0000   0.7080
 389.10 0.349290  3.11861   0.7141   0.0000   0.0000   0.7141
 389.17 0.349303  3.12505   0.7211   0.0000   0.0000   0.7211
 389.24 0.349315  3.13149   0.7267   0.0000   0.0000   0.7267
 389.31 0.349327  3.13793   0.7306   0.0000   0.0000   0.7306
 389.38 0.349340  3.14437   0.7333   0.0000   0.0000   0.7333
